weather_id,sensor_id,time,temperature_2m,relative_humidity_2m,wind_speed_10m,surface_pressure,rain,values_pm25
W1561901_2023010100,1561901,2023-01-01 00:00:00,12.1,89,34.1,999.1,0.3,5.1
W1561901_2023010101,1561901,2023-01-01 01:00:00,11.3,94,22.9,999.1,0.1,6.2
W1561901_2023010102,1561901,2023-01-01 02:00:00,11.9,85,31.1,999.9,0.4,6.6
W1561901_2023010103,1561901,2023-01-01 03:00:00,11.0,80,31.4,1000.9,0.0,7.9
W1561901_2023010104,1561901,2023-01-01 04:00:00,10.4,78,30.7,1001.9,0.0,8.3
W1561901_2023010105,1561901,2023-01-01 05:00:00,10.3,77,27.7,1002.4,0.0,8.4
W1561901_2023010106,1561901,2023-01-01 06:00:00,10.1,79,27.8,1003.1,0.0,9.4
W1561901_2023010107,1561901,2023-01-01 07:00:00,9.8,80,27.0,1003.7,0.0,10.6
W1561901_2023010108,1561901,2023-01-01 08:00:00,9.8,77,25.9,1004.6,0.0,11.0
W1561901_2023010109,1561901,2023-01-01 09:00:00,9.8,77,25.9,1005.2,0.0,10.6
W1561901_2023010110,1561901,2023-01-01 10:00:00,10.2,73,25.9,1006.0,0.0,10.5
W1561901_2023010111,1561901,2023-01-01 11:00:00,10.8,73,27.2,1006.2,0.0,11.0
W1561901_2023010112,1561901,2023-01-01 12:00:00,11.4,74,28.2,1006.3,0.0,13.2
W1561901_2023010113,1561901,2023-01-01 13:00:00,11.4,79,22.2,1006.1,0.0,28.4
W1561901_2023010114,1561901,2023-01-01 14:00:00,11.5,80,25.0,1006.3,0.1,10.7
W1561901_2023010115,1561901,2023-01-01 15:00:00,11.0,82,23.4,1005.8,0.1,9.1
W1561901_2023010116,1561901,2023-01-01 16:00:00,10.6,85,18.7,1005.5,0.0,8.5
W1561901_2023010117,1561901,2023-01-01 17:00:00,10.3,86,18.2,1005.4,0.1,7.2
W1561901_2023010118,1561901,2023-01-01 18:00:00,10.1,87,14.5,1005.3,0.3,7.2
W1561901_2023010119,1561901,2023-01-01 19:00:00,9.8,91,11.1,1005.0,0.8,6.7
W1561901_2023010120,1561901,2023-01-01 20:00:00,9.5,90,7.9,1005.2,0.7,5.6
W1561901_2023010121,1561901,2023-01-01 21:00:00,9.1,90,4.9,1004.7,0.2,4.7
W1561901_2023010122,1561901,2023-01-01 22:00:00,8.9,91,5.3,1004.6,0.2,
W1561901_2023010123,1561901,2023-01-01 23:00:00,8.7,92,5.4,1004.7,0.6,3.5
W1561901_2023010200,1561901,2023-01-02 00:00:00,8.5,93,6.6,1005.0,0.4,3.0
W1561901_2023010201,1561901,2023-01-02 01:00:00,7.9,92,5.1,1005.4,0.1,2.9
W1561901_2023010202,1561901,2023-01-02 02:00:00,7.5,92,7.6,1005.6,0.1,3.0
W1561901_2023010203,1561901,2023-01-02 03:00:00,6.7,92,9.3,1006.2,0.0,3.5
W1561901_2023010204,1561901,2023-01-02 04:00:00,6.8,91,12.5,1006.7,0.0,2.9
W1561901_2023010205,1561901,2023-01-02 05:00:00,7.5,91,15.5,1006.8,0.0,2.8
W1561901_2023010206,1561901,2023-01-02 06:00:00,7.3,91,12.8,1007.4,0.0,2.9
W1561901_2023010207,1561901,2023-01-02 07:00:00,7.2,93,12.5,1007.9,0.0,3.2
W1561901_2023010208,1561901,2023-01-02 08:00:00,6.8,94,11.5,1008.8,0.0,4.1
W1561901_2023010209,1561901,2023-01-02 09:00:00,6.1,95,9.3,1009.7,0.0,4.7
W1561901_2023010210,1561901,2023-01-02 10:00:00,6.6,95,10.1,1011.0,0.0,4.7
W1561901_2023010211,1561901,2023-01-02 11:00:00,7.4,90,11.5,1012.2,0.0,4.8
W1561901_2023010212,1561901,2023-01-02 12:00:00,7.8,87,12.2,1013.1,0.0,4.1
W1561901_2023010213,1561901,2023-01-02 13:00:00,8.2,83,9.8,1013.8,0.0,3.7
W1561901_2023010214,1561901,2023-01-02 14:00:00,8.3,79,11.4,1014.6,0.0,3.8
W1561901_2023010215,1561901,2023-01-02 15:00:00,8.0,77,11.6,1015.3,0.0,4.9
W1561901_2023010216,1561901,2023-01-02 16:00:00,7.3,83,8.0,1016.1,0.0,6.6
W1561901_2023010217,1561901,2023-01-02 17:00:00,4.1,93,9.5,1016.9,0.0,7.4
W1561901_2023010218,1561901,2023-01-02 18:00:00,3.1,93,9.2,1017.7,0.0,10.5
W1561901_2023010219,1561901,2023-01-02 19:00:00,2.3,94,9.9,1018.2,0.0,13.3
W1561901_2023010220,1561901,2023-01-02 20:00:00,1.6,94,10.1,1018.6,0.0,11.8
W1561901_2023010221,1561901,2023-01-02 21:00:00,1.2,94,10.1,1019.1,0.0,
W1561901_2023010222,1561901,2023-01-02 22:00:00,1.4,93,9.8,1019.3,0.0,
W1561901_2023010223,1561901,2023-01-02 23:00:00,1.0,94,10.7,1019.4,0.0,11.5
W1561901_2023010300,1561901,2023-01-03 00:00:00,1.3,93,10.1,1019.4,0.0,7.8
W1561901_2023010301,1561901,2023-01-03 01:00:00,2.2,93,8.4,1019.3,0.0,7.0
W1561901_2023010302,1561901,2023-01-03 02:00:00,3.2,92,8.7,1018.7,0.0,6.5
W1561901_2023010303,1561901,2023-01-03 03:00:00,3.3,94,8.7,1018.5,0.0,7.0
W1561901_2023010304,1561901,2023-01-03 04:00:00,3.9,96,8.5,1018.2,0.0,8.2
W1561901_2023010305,1561901,2023-01-03 05:00:00,4.4,97,8.4,1017.8,0.0,8.2
W1561901_2023010306,1561901,2023-01-03 06:00:00,4.9,97,10.0,1017.6,0.0,6.7
W1561901_2023010307,1561901,2023-01-03 07:00:00,5.6,95,12.3,1017.3,0.0,6.7
W1561901_2023010308,1561901,2023-01-03 08:00:00,6.1,93,14.9,1017.0,0.0,6.6
W1561901_2023010309,1561901,2023-01-03 09:00:00,7.7,90,20.3,1017.0,0.0,5.8
W1561901_2023010310,1561901,2023-01-03 10:00:00,8.9,87,24.1,1016.8,0.1,5.5
W1561901_2023010311,1561901,2023-01-03 11:00:00,9.3,87,28.2,1016.5,0.1,4.6
W1561901_2023010312,1561901,2023-01-03 12:00:00,9.4,87,30.6,1016.1,0.6,4.2
W1561901_2023010313,1561901,2023-01-03 13:00:00,9.7,89,30.1,1015.5,0.1,5.6
W1561901_2023010314,1561901,2023-01-03 14:00:00,10.2,88,32.2,1014.6,0.1,3.5
W1561901_2023010315,1561901,2023-01-03 15:00:00,10.5,87,32.3,1014.0,0.1,4.3
W1561901_2023010316,1561901,2023-01-03 16:00:00,10.4,88,30.2,1013.3,0.1,3.2
W1561901_2023010317,1561901,2023-01-03 17:00:00,10.6,88,31.8,1012.8,0.1,2.3
W1561901_2023010318,1561901,2023-01-03 18:00:00,10.6,89,34.8,1012.1,0.1,2.4
W1561901_2023010319,1561901,2023-01-03 19:00:00,10.6,89,36.8,1011.1,0.3,1.8
W1561901_2023010320,1561901,2023-01-03 20:00:00,10.8,90,37.4,1010.5,0.3,1.8
W1561901_2023010321,1561901,2023-01-03 21:00:00,11.3,89,34.7,1010.0,0.4,3.8
W1561901_2023010322,1561901,2023-01-03 22:00:00,11.6,91,30.9,1009.5,0.3,
W1561901_2023010323,1561901,2023-01-03 23:00:00,12.3,91,32.1,1009.6,0.5,4.9
W1561901_2023010400,1561901,2023-01-04 00:00:00,12.4,88,32.6,1009.8,0.0,4.0
W1561901_2023010401,1561901,2023-01-04 01:00:00,11.9,91,33.1,1009.8,0.0,5.7
W1561901_2023010402,1561901,2023-01-04 02:00:00,12.0,90,33.6,1009.6,0.0,4.5
W1561901_2023010403,1561901,2023-01-04 03:00:00,12.1,88,35.9,1009.4,0.0,2.7
W1561901_2023010404,1561901,2023-01-04 04:00:00,12.0,89,34.9,1009.4,0.2,2.1
W1561901_2023010405,1561901,2023-01-04 05:00:00,12.2,90,34.9,1008.7,0.4,3.0
W1561901_2023010406,1561901,2023-01-04 06:00:00,12.3,91,34.6,1008.4,0.0,
W1561901_2023010407,1561901,2023-01-04 07:00:00,12.6,90,32.4,1008.4,0.0,
W1561901_2023010408,1561901,2023-01-04 08:00:00,12.7,90,30.8,1009.0,0.0,
W1561901_2023010409,1561901,2023-01-04 09:00:00,12.4,90,29.0,1009.5,0.1,
W1561901_2023010410,1561901,2023-01-04 10:00:00,12.6,84,31.7,1010.2,0.1,
W1561901_2023010411,1561901,2023-01-04 11:00:00,12.4,85,30.8,1010.5,0.0,
W1561901_2023010412,1561901,2023-01-04 12:00:00,12.7,83,31.6,1010.7,0.0,
W1561901_2023010413,1561901,2023-01-04 13:00:00,12.9,83,29.8,1010.1,0.0,
W1561901_2023010414,1561901,2023-01-04 14:00:00,13.1,81,34.0,1010.1,0.1,
W1561901_2023010415,1561901,2023-01-04 15:00:00,13.0,76,33.3,1010.3,0.0,
W1561901_2023010416,1561901,2023-01-04 16:00:00,12.5,77,30.0,1010.3,0.0,
W1561901_2023010417,1561901,2023-01-04 17:00:00,11.9,80,29.8,1010.8,0.0,
W1561901_2023010418,1561901,2023-01-04 18:00:00,11.5,79,29.3,1011.5,0.0,
W1561901_2023010419,1561901,2023-01-04 19:00:00,10.8,80,29.5,1012.1,0.0,
W1561901_2023010420,1561901,2023-01-04 20:00:00,10.1,82,27.2,1012.6,0.0,
W1561901_2023010421,1561901,2023-01-04 21:00:00,9.9,83,25.4,1013.5,0.0,
W1561901_2023010422,1561901,2023-01-04 22:00:00,9.9,84,24.4,1013.7,0.0,
W1561901_2023010423,1561901,2023-01-04 23:00:00,10.2,84,23.5,1013.9,0.0,
W1561901_2023010500,1561901,2023-01-05 00:00:00,10.4,83,24.4,1014.5,0.0,
W1561901_2023010501,1561901,2023-01-05 01:00:00,10.2,82,20.9,1014.9,0.0,
W1561901_2023010502,1561901,2023-01-05 02:00:00,9.9,83,21.6,1015.4,0.0,
W1561901_2023010503,1561901,2023-01-05 03:00:00,9.7,85,19.5,1015.7,0.0,
W1561901_2023010504,1561901,2023-01-05 04:00:00,9.5,86,18.8,1016.3,0.0,
W1561901_2023010505,1561901,2023-01-05 05:00:00,9.2,89,16.7,1016.3,0.0,
W1561901_2023010506,1561901,2023-01-05 06:00:00,8.9,90,15.9,1016.5,0.0,
W1561901_2023010507,1561901,2023-01-05 07:00:00,9.1,89,15.0,1016.6,0.0,
W1561901_2023010508,1561901,2023-01-05 08:00:00,8.5,93,13.0,1016.9,0.0,
W1561901_2023010509,1561901,2023-01-05 09:00:00,7.8,95,10.4,1016.9,0.0,
W1561901_2023010510,1561901,2023-01-05 10:00:00,9.5,90,12.6,1016.7,0.0,
W1561901_2023010511,1561901,2023-01-05 11:00:00,10.6,90,15.9,1016.6,0.0,
W1561901_2023010512,1561901,2023-01-05 12:00:00,12.2,89,19.2,1016.5,0.0,
W1561901_2023010513,1561901,2023-01-05 13:00:00,12.3,86,18.3,1016.1,0.1,
W1561901_2023010514,1561901,2023-01-05 14:00:00,12.9,83,21.8,1015.5,0.0,
W1561901_2023010515,1561901,2023-01-05 15:00:00,12.6,86,20.1,1014.8,0.0,
W1561901_2023010516,1561901,2023-01-05 16:00:00,12.1,85,20.1,1014.2,0.0,
W1561901_2023010517,1561901,2023-01-05 17:00:00,11.3,88,21.9,1013.9,0.0,
W1561901_2023010518,1561901,2023-01-05 18:00:00,11.2,86,24.9,1013.7,0.0,
W1561901_2023010519,1561901,2023-01-05 19:00:00,10.2,90,25.0,1013.4,0.0,
W1561901_2023010520,1561901,2023-01-05 20:00:00,10.1,91,24.5,1012.9,0.0,
W1561901_2023010521,1561901,2023-01-05 21:00:00,11.0,86,27.7,1012.6,0.0,
W1561901_2023010522,1561901,2023-01-05 22:00:00,11.1,85,28.9,1012.0,0.0,
W1561901_2023010523,1561901,2023-01-05 23:00:00,11.2,83,28.4,1011.2,0.0,
W1561901_2023010600,1561901,2023-01-06 00:00:00,11.3,83,31.5,1010.2,0.0,
W1561901_2023010601,1561901,2023-01-06 01:00:00,11.2,85,30.6,1009.4,0.0,
W1561901_2023010602,1561901,2023-01-06 02:00:00,11.1,87,32.3,1008.6,0.2,
W1561901_2023010603,1561901,2023-01-06 03:00:00,11.2,90,32.2,1008.8,0.9,
W1561901_2023010604,1561901,2023-01-06 04:00:00,10.0,82,25.8,1009.9,0.1,
W1561901_2023010605,1561901,2023-01-06 05:00:00,7.8,85,18.1,1010.8,0.0,
W1561901_2023010606,1561901,2023-01-06 06:00:00,6.9,88,15.8,1011.1,0.0,
W1561901_2023010607,1561901,2023-01-06 07:00:00,6.5,90,14.3,1011.3,0.0,
W1561901_2023010608,1561901,2023-01-06 08:00:00,6.2,91,13.7,1011.8,0.0,
W1561901_2023010609,1561901,2023-01-06 09:00:00,5.7,93,12.5,1012.1,0.0,
W1561901_2023010610,1561901,2023-01-06 10:00:00,6.0,93,13.2,1012.6,0.0,
W1561901_2023010611,1561901,2023-01-06 11:00:00,7.3,90,14.4,1012.7,0.0,
W1561901_2023010612,1561901,2023-01-06 12:00:00,8.6,88,14.8,1012.3,0.0,
W1561901_2023010613,1561901,2023-01-06 13:00:00,9.6,84,19.6,1011.8,0.0,
W1561901_2023010614,1561901,2023-01-06 14:00:00,10.2,80,20.3,1011.2,0.0,
W1561901_2023010615,1561901,2023-01-06 15:00:00,10.4,79,20.3,1010.5,0.0,
W1561901_2023010616,1561901,2023-01-06 16:00:00,10.1,83,16.6,1009.8,0.0,
W1561901_2023010617,1561901,2023-01-06 17:00:00,10.1,89,15.3,1009.1,0.0,
W1561901_2023010618,1561901,2023-01-06 18:00:00,11.0,90,22.9,1008.8,0.0,
W1561901_2023010619,1561901,2023-01-06 19:00:00,11.5,89,24.7,1008.7,0.0,
W1561901_2023010620,1561901,2023-01-06 20:00:00,11.7,88,25.9,1008.7,0.0,
W1561901_2023010621,1561901,2023-01-06 21:00:00,12.0,86,26.1,1008.4,0.0,
W1561901_2023010622,1561901,2023-01-06 22:00:00,11.9,85,26.1,1007.9,0.0,
W1561901_2023010623,1561901,2023-01-06 23:00:00,11.5,87,27.7,1007.6,0.0,
W1561901_2023010700,1561901,2023-01-07 00:00:00,11.6,86,27.8,1006.8,0.0,
W1561901_2023010701,1561901,2023-01-07 01:00:00,11.6,86,29.2,1006.1,0.0,
W1561901_2023010702,1561901,2023-01-07 02:00:00,11.6,86,30.9,1005.0,0.0,
W1561901_2023010703,1561901,2023-01-07 03:00:00,11.6,85,32.4,1003.9,0.0,
W1561901_2023010704,1561901,2023-01-07 04:00:00,11.4,84,33.1,1003.3,0.0,
W1561901_2023010705,1561901,2023-01-07 05:00:00,11.4,84,33.6,1002.4,0.0,
W1561901_2023010706,1561901,2023-01-07 06:00:00,11.3,83,33.7,1001.2,0.0,
W1561901_2023010707,1561901,2023-01-07 07:00:00,11.1,79,34.2,1000.2,0.0,
W1561901_2023010708,1561901,2023-01-07 08:00:00,11.0,78,33.9,999.2,0.1,
W1561901_2023010709,1561901,2023-01-07 09:00:00,10.8,81,33.2,998.1,0.7,
W1561901_2023010710,1561901,2023-01-07 10:00:00,10.1,87,34.2,997.0,0.6,
W1561901_2023010711,1561901,2023-01-07 11:00:00,10.1,87,35.4,996.2,0.5,
W1561901_2023010712,1561901,2023-01-07 12:00:00,10.5,87,36.7,995.7,0.6,
W1561901_2023010713,1561901,2023-01-07 13:00:00,10.6,86,29.4,995.0,0.1,
W1561901_2023010714,1561901,2023-01-07 14:00:00,11.0,85,30.9,993.8,0.1,
W1561901_2023010715,1561901,2023-01-07 15:00:00,10.8,87,30.5,992.8,0.2,
W1561901_2023010716,1561901,2023-01-07 16:00:00,11.0,87,31.7,992.6,0.2,
W1561901_2023010717,1561901,2023-01-07 17:00:00,10.1,88,30.9,992.6,0.9,
W1561901_2023010718,1561901,2023-01-07 18:00:00,9.7,88,34.0,992.2,1.0,
W1561901_2023010719,1561901,2023-01-07 19:00:00,9.1,85,31.9,992.6,0.0,
W1561901_2023010720,1561901,2023-01-07 20:00:00,8.2,81,31.4,993.2,0.0,
W1561901_2023010721,1561901,2023-01-07 21:00:00,7.6,82,29.5,994.1,0.0,
W1561901_2023010722,1561901,2023-01-07 22:00:00,7.3,82,25.6,994.1,0.0,
W1561901_2023010723,1561901,2023-01-07 23:00:00,7.6,80,25.1,994.1,0.0,
W1561901_2023010800,1561901,2023-01-08 00:00:00,7.7,80,24.5,994.1,0.0,
W1561901_2023010801,1561901,2023-01-08 01:00:00,8.4,78,24.5,993.7,0.0,
W1561901_2023010802,1561901,2023-01-08 02:00:00,8.1,80,23.4,993.1,0.0,
W1561901_2023010803,1561901,2023-01-08 03:00:00,7.8,83,25.1,993.2,0.0,
W1561901_2023010804,1561901,2023-01-08 04:00:00,7.5,83,26.9,993.3,0.4,
